X,Y,OBJECTID,PARK_NAME,AGE_RANGE,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-75.1524419409755,39.9426444819429,2772,Starr Garden Playground,5_12_YEARS,, ,Street Smart 2023
-75.2134908986814,39.9306560266241,2773,Bartrams Garden,UNKNOWN,, ,Nearmap 2023
-75.0337305686579,40.1001709143942,2774,William A Lackman Memorial Playground,5_12_YEARS,2014/01/01 00:00:00+00, ,Nearmap 2023
-75.1958103641836,39.9672723323999,2775,Miles Mack Playground,5_12_YEARS,2021/03/01 00:00:00+00,Rebuild renovations in 2021,Nearmap 2023
-75.216482788536,39.9712550667543,2776,Sister Clara Muhammad Square,5_12_YEARS,2010/01/01 00:00:00+00, ,Nearmap 2023
-75.2307159936833,39.9234254932314,2777,George Connell Park,5_12_YEARS,, ,Nearmap 2023
-75.2297150079051,39.9634969547277,2778,Ann P Nichols Park,5_12_YEARS,2017/01/01 00:00:00+00, ,Nearmap 2023
-75.2481975945122,39.9082693426318,2779,William A Cibotti Recreation Center,5_12_YEARS,2020/08/01 00:00:00+00, ,Nearmap 2023
-75.1593180976964,39.9342275999501,2780,Dr Nicola Capitolo Playground,5_12_YEARS,2019/04/01 00:00:00+00, ,Nearmap 2023
-75.1869107767414,39.9258310588989,2781,Thomas B Smith Recreation Center,5_12_YEARS,2018/01/01 00:00:00+00, ,Nearmap 2023
-75.1907595260522,39.9649033226891,2782,33rd and Wallace Playground,5_12_YEARS,2022/06/28 00:00:00+00, ,Nearmap 2023
-75.1697610596748,40.0655069715485,2783,Charles M Finley Playground,5_12_YEARS,2018/01/01 00:00:00+00, ,Nearmap 2023
